trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
all_year_weekday_06_30,06:30:00,06:30:00,holtenau,1,0
all_year_weekday_06_30,06:36:00,06:36:00,wik,2,0
all_year_weekday_06_42,06:42:00,06:42:00,holtenau,1,0
all_year_weekday_06_42,06:50:00,06:50:00,wik,2,0
all_year_weekday_06_57,06:57:00,06:57:00,holtenau,1,0
all_year_weekday_06_57,07:05:00,07:05:00,wik,2,0
all_year_weekday_07_12,07:12:00,07:12:00,holtenau,1,0
all_year_weekday_07_12,07:20:00,07:20:00,wik,2,0
all_year_weekday_07_27,07:27:00,07:27:00,holtenau,1,0
all_year_weekday_07_27,07:35:00,07:35:00,wik,2,0
all_year_weekday_07_42,07:42:00,07:42:00,holtenau,1,0
all_year_weekday_07_42,07:50:00,07:50:00,wik,2,0
all_year_weekday_07_57,07:57:00,07:57:00,holtenau,1,0
all_year_weekday_07_57,08:05:00,08:05:00,wik,2,0
all_year_weekday_08_12,08:12:00,08:12:00,holtenau,1,0
all_year_weekday_08_12,08:20:00,08:20:00,wik,2,0
all_year_weekday_08_27,08:27:00,08:27:00,holtenau,1,0
all_year_weekday_08_27,08:35:00,08:35:00,wik,2,0
all_year_weekday_08_42,08:42:00,08:42:00,holtenau,1,0
all_year_weekday_08_42,08:50:00,08:50:00,wik,2,0
all_year_weekday_08_57,08:57:00,08:57:00,holtenau,1,0
all_year_weekday_08_57,09:05:00,09:05:00,wik,2,0
all_year_weekday_09_12,09:12:00,09:12:00,holtenau,1,0
all_year_weekday_09_12,09:20:00,09:20:00,wik,2,0
all_year_weekday_09_27,09:27:00,09:27:00,holtenau,1,0
all_year_weekday_09_27,09:35:00,09:35:00,wik,2,0
all_year_weekday_09_42,09:42:00,09:42:00,holtenau,1,0
all_year_weekday_09_42,09:50:00,09:50:00,wik,2,0
all_year_weekday_09_57,09:57:00,09:57:00,holtenau,1,0
all_year_weekday_09_57,10:05:00,10:05:00,wik,2,0
all_year_weekday_10_12,10:12:00,10:12:00,holtenau,1,0
all_year_weekday_10_12,10:20:00,10:20:00,wik,2,0
all_year_weekday_10_27,10:27:00,10:27:00,holtenau,1,0
all_year_weekday_10_27,10:35:00,10:35:00,wik,2,0
all_year_weekday_10_42,10:42:00,10:42:00,holtenau,1,0
all_year_weekday_10_42,10:50:00,10:50:00,wik,2,0
all_year_weekday_10_57,10:57:00,10:57:00,holtenau,1,0
all_year_weekday_10_57,11:05:00,11:05:00,wik,2,0
all_year_weekday_11_12,11:12:00,11:12:00,holtenau,1,0
all_year_weekday_11_12,11:20:00,11:20:00,wik,2,0
all_year_weekday_11_27,11:27:00,11:27:00,holtenau,1,0
all_year_weekday_11_27,11:35:00,11:35:00,wik,2,0
all_year_weekday_11_42,11:42:00,11:42:00,holtenau,1,0
all_year_weekday_11_42,11:50:00,11:50:00,wik,2,0
all_year_weekday_11_57,11:57:00,11:57:00,holtenau,1,0
all_year_weekday_11_57,12:05:00,12:05:00,wik,2,0
all_year_weekday_12_12,12:12:00,12:12:00,holtenau,1,0
all_year_weekday_12_12,12:20:00,12:20:00,wik,2,0
all_year_weekday_12_27,12:27:00,12:27:00,holtenau,1,0
all_year_weekday_12_27,12:35:00,12:35:00,wik,2,0
all_year_weekday_12_42,12:42:00,12:42:00,holtenau,1,0
all_year_weekday_12_42,12:50:00,12:50:00,wik,2,0
all_year_weekday_12_57,12:57:00,12:57:00,holtenau,1,0
all_year_weekday_12_57,13:05:00,13:05:00,wik,2,0
all_year_weekday_13_12,13:12:00,13:12:00,holtenau,1,0
all_year_weekday_13_12,13:20:00,13:20:00,wik,2,0
